Asset ID,Character,Class,Weapon,State,Clip,Root Motion,Looping,Gameplay Events,Audio Events,VFX Events,Implementation Status,Retarget Status,Testing Status,Notes
ANM_PLAYER_LOCOMOTION_WARDEN,Player,Warden,Longsword,Idle/Start/Walk/Run/Stop/Pivot,Procedural Canvas2D pose,Gameplay-authoritative,Contextual,FootContact,Surface footstep,Dust/stance,Implemented,N/A,Automated + rendered,Authored skeletal clips absent
ANM_PLAYER_LOCOMOTION_THORNSEER,Player,Thornseer,Thorn whip,Idle/Start/Walk/Run/Stop/Pivot,Procedural Canvas2D pose,Gameplay-authoritative,Contextual,FootContact,Surface footstep,Dust/stance,Implemented,N/A,Automated + rendered,Authored skeletal clips absent
ANM_PLAYER_LOCOMOTION_IRONBOUND,Player,Ironbound,Tower shield,Idle/Start/Walk/Run/Stop/Pivot,Procedural Canvas2D pose,Gameplay-authoritative,Contextual,FootContact,Surface footstep,Dust/stance,Implemented,N/A,Automated + rendered,Authored skeletal clips absent
ANM_PLAYER_LOCOMOTION_VEILRUNNER,Player,Veilrunner,Dual blades,Idle/Start/Walk/Run/Stop/Pivot,Procedural Canvas2D pose,Gameplay-authoritative,Contextual,FootContact,Surface footstep,Dust/stance,Implemented,N/A,Automated + rendered,Authored skeletal clips absent
ANM_PLAYER_LOCOMOTION_GRAVEBINDER,Player,Gravebinder,War scythe,Idle/Start/Walk/Run/Stop/Pivot,Procedural Canvas2D pose,Gameplay-authoritative,Contextual,FootContact,Surface footstep,Dust/stance,Implemented,N/A,Automated + rendered,Authored skeletal clips absent
ANM_PLAYER_LOCOMOTION_DAWNSTRIDER,Player,Dawnstrider,Sun staff,Idle/Start/Walk/Run/Stop/Pivot,Procedural Canvas2D pose,Gameplay-authoritative,Contextual,FootContact,Surface footstep,Dust/stance,Implemented,N/A,Automated + rendered,Authored skeletal clips absent
warden-basic-1,Player,Warden,Longsword,Combo 1,Data timeline + weapon gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-longsword-light,Longsword trail/impact,Implemented,N/A,Automated + rendered,0.31 s profile
warden-basic-2,Player,Warden,Longsword,Combo 2,Data timeline + weapon gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-longsword-light,Longsword trail/impact,Implemented,N/A,Automated,0.34 s profile
warden-basic-3,Player,Warden,Longsword,Finisher,Data timeline + weapon gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-longsword-heavy,Heavy trail/impact/accent,Implemented,N/A,Automated,0.43 s profile
thornseer-basic-1,Player,Thornseer,Thorn whip,Combo 1,Data timeline + whip gesture,Gameplay-authoritative,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-thorn-whip-light,Briar projectile/impact,Implemented,N/A,Automated,0.32 s profile
thornseer-basic-2,Player,Thornseer,Thorn whip,Combo 2,Data timeline + whip gesture,Gameplay-authoritative,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-thorn-whip-light,Briar projectile/impact,Implemented,N/A,Automated,0.34 s profile
thornseer-basic-3,Player,Thornseer,Thorn whip,Finisher,Data timeline + whip gesture,Gameplay-authoritative,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-thorn-whip-heavy,Briar projectile/impact/accent,Implemented,N/A,Automated,0.39 s profile
ironbound-basic-1,Player,Ironbound,Tower shield,Combo 1,Data timeline + shield strike,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-tower-shield-light,Blunt impact,Implemented,N/A,Automated,0.39 s profile
ironbound-basic-2,Player,Ironbound,Tower shield,Combo 2,Data timeline + shield strike,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-tower-shield-light,Heavy blunt impact,Implemented,N/A,Automated,0.42 s profile
ironbound-basic-3,Player,Ironbound,Tower shield,Finisher,Data timeline + shield strike,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-tower-shield-heavy,Critical blunt impact/accent,Implemented,N/A,Automated,0.54 s profile
veilrunner-basic-1,Player,Veilrunner,Dual blades,Combo 1,Data timeline + dual gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-dual-blades-light,Pierce impact,Implemented,N/A,Automated,0.24 s profile
veilrunner-basic-2,Player,Veilrunner,Dual blades,Combo 2,Data timeline + dual gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-dual-blades-light,Pierce impact,Implemented,N/A,Automated,0.25 s profile
veilrunner-basic-3,Player,Veilrunner,Dual blades,Finisher,Data timeline + dual gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-dual-blades-heavy,Knife fan/impact/accent,Implemented,N/A,Automated,0.31 s profile
gravebinder-basic-1,Player,Gravebinder,War scythe,Combo 1,Data timeline + scythe gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-war-scythe-light,Dark slash impact,Implemented,N/A,Automated,0.35 s profile
gravebinder-basic-2,Player,Gravebinder,War scythe,Combo 2,Data timeline + scythe gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-war-scythe-light,Dark impact,Implemented,N/A,Automated,0.38 s profile
gravebinder-basic-3,Player,Gravebinder,War scythe,Finisher,Data timeline + scythe gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-war-scythe-heavy,Soul hex/impact/accent,Implemented,N/A,Automated,0.49 s profile
dawnstrider-basic-1,Player,Dawnstrider,Sun staff,Combo 1,Data timeline + staff gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-sun-staff-light,Holy impact,Implemented,N/A,Automated,0.28 s profile
dawnstrider-basic-2,Player,Dawnstrider,Sun staff,Combo 2,Data timeline + staff gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-sun-staff-light,Holy impact,Implemented,N/A,Automated,0.30 s profile
dawnstrider-basic-3,Player,Dawnstrider,Sun staff,Finisher,Data timeline + staff gesture,Bounded correction,No,CommitAttack/EnableHitbox/DisableHitbox/AllowCancel,weapon-sun-staff-heavy,Sun spark/impact/accent,Implemented,N/A,Automated,0.38 s profile
player-skill-one,Player,All,Class-defined,Primary skill,Timed cast procedure,Gameplay-authoritative,No,CommitAction/ResolveAction/AllowCancel,projectile,Class projectile/VFX,Implemented,N/A,Automated,Effect and resource resolve at 0.20 s
player-skill-two,Player,All,Class-defined,Defensive field,Timed ward procedure,Gameplay-authoritative,No,CommitAction/ResolveAction/AllowCancel,ward,Class field/barrier,Implemented,N/A,Automated,Effect and resource resolve at 0.28 s
player-companion,Player,All,Secondary-class,Companion technique,Timed companion procedure,Gameplay-authoritative,No,CommitAction/ResolveAction/AllowCancel,companion,Secondary class effect,Implemented,N/A,Automated,Effect resolves at 0.27 s
player-hybrid,Player,All,Hybrid-defined,Hybrid signature,Timed hybrid procedure,Gameplay-authoritative,No,CommitAction/ResolveAction/AllowCancel,hybrid,Hybrid signature burst,Implemented,N/A,Automated,Effect resolves at 0.36 s
player-ultimate,Player,All,Hybrid-defined,Ultimate,Committed timed procedure,Gameplay-authoritative,No,CommitAction/ResolveAction,ultimate,Ultimate burst/music accent,Implemented,N/A,Automated,Effect resolves at 0.58 s
player-execution,Player,All,Class-defined,Execution,Target-aligned procedure,Bounded correction,No,CommitAction/ResolveAction,execute,Execution burst/impact,Implemented,N/A,Automated,No cancel window
player-potion,Player,All,Flask,Potion,Timed use procedure,Gameplay-authoritative,No,CommitAction/ResolveAction/AllowCancel,potion,Heal burst,Implemented,N/A,Automated,Consumption and heal resolve at 0.14 s
player-dodge,Player,All,Class-defined,Dodge,Directional dash pose,Gameplay-authoritative,No,IFrameOn/IFrameOff/AllowCancel,dodge,Afterimage/trail,Implemented,N/A,Automated,I-frames end 0.01 s before visible dash
player-death,Player,All,Class-defined,Death,Procedural fall,Gameplay-authoritative,No,Death/death UI,death sting,Death burst,Implemented,N/A,Automated,No skeletal ragdoll
player-resurrection,Player,All,Class-defined,Resurrection,Procedural recovery,Gameplay-authoritative,No,Restore control/state,resurrection sting,Revive field,Implemented,N/A,Automated,Boss reveal is not replayed
ANM_ENEMY_MELEE,Enemy,Melee family,Natural/weapon,Attack,Role windup/contact/recovery,Gameplay-authoritative,No,Telegraph/Impact/Recovery,enemy-windup/enemy-attack,Body telegraph/impact,Implemented,N/A,Automated + rendered,41 enemies route through family profiles
ANM_ENEMY_SHIELD,Enemy,Shield family,Shield/weapon,Guard attack,Role windup/contact/recovery,Gameplay-authoritative,No,Telegraph/Impact/Recovery,enemy-windup/enemy-attack,Guard pose/impact,Implemented,N/A,Automated + rendered,Limited committed tracking
