Boss,Phase,Animation Set,Attack Set,Music Cue,Camera Profile,VFX Profile,Stagger State,Cinematic,Testing Status
Bell-Witness,1-3,ANM_BOSS_FRAMEWORK/bellwitness,Bell wave/Summon/Area,mus-boss-bellwitness,boss,Bell fracture rings,Scaled boss recoil + music thinning,Campaign reveal + skip-safe state,Automated framework + rendered transition
Tolling Abbot,1-3,ANM_BOSS_FRAMEWORK/tollingabbot,Choir bolts/Bell ring/Summon,mus-boss-tollingabbot,boss,Choir toll rings,Scaled boss recoil + music thinning,Campaign reveal + skip-safe state,Automated framework + rendered transition
Cryptwarden Sile,1-3,ANM_BOSS_FRAMEWORK/cryptwarden,Guard/Line/Area,mus-boss-cryptwarden,boss,Crypt ward rings,Scaled boss recoil + music thinning,Delve reveal + skip-safe state,Automated framework + rendered transition
"Avarra, Blood Matron",1-3,ANM_BOSS_FRAMEWORK/bloodmatron,Blood roots/Pool/Summon,mus-boss-bloodmatron,boss,Blood root rings,Scaled boss recoil + music thinning,Campaign reveal + skip-safe state,Automated framework + rendered transition
Sovereign of the Drowned,1-3,ANM_BOSS_FRAMEWORK/bogsovereign,Water slam/Leeches/Area,mus-boss-bogsovereign,boss,Drowned tide rings,Scaled boss recoil + music thinning,Delve reveal + skip-safe state,Automated framework + rendered transition
The Burial Engine,1-3,ANM_BOSS_FRAMEWORK/burialengine,Charge/Crush/Projectiles,mus-boss-burialengine,boss,Burial dust rings,Scaled boss recoil + music thinning,Operation reveal + skip-safe state,Automated framework + rendered transition
"Odran, Chain Regent",1-3,ANM_BOSS_FRAMEWORK/chainregent,Chain sweep/Siege/Summon,mus-boss-chainregent,boss,Chain storm rings,Scaled boss recoil + music thinning,Campaign reveal + skip-safe state,Automated framework + rendered transition
Apostle in the Mirror,1-3,ANM_BOSS_FRAMEWORK/mirrorapostle,Mirror bolts/Clone/Rift,mus-boss-mirrorapostle,boss,Mirror break rings,Scaled boss recoil + music thinning,Operation reveal + skip-safe state,Automated framework + rendered transition
"Noxara, Oracle of the Fifth Road",1-3,ANM_BOSS_FRAMEWORK/veiledoracle,Rift lines/Orbs/Summon,mus-boss-veiledoracle,boss,Veil rift rings,Scaled boss recoil + music thinning,Campaign reveal + skip-safe state,Automated framework + rendered transition
Silence Incarnate,1-3,ANM_BOSS_FRAMEWORK/silenceincarnate,Null zones/Choir/Collapse,mus-boss-silenceincarnate,boss,World silence rings,Scaled boss recoil + music thinning,Pinnacle reveal + skip-safe state,Automated framework + rendered transition
